"Provider ID","Hospital Name","Address","City","State","ZIP Code","County Name","Phone Number","Quality","Atmosphere","Price"
10001,"SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL",36301,"HOUSTON",3347938701,0.928772461571769,0.363498592768998,0.28480190517428
10005,"MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","BOAZ","AL",35957,"MARSHALL",2565938310,0.911669192465902,0.696362849101537,0.323771379086382
10006,"ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL",35631,"LAUDERDALE",2567688400,0.0282528685862741,0.10348560294436,0.365555315003247
10007,"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL",36467,"COVINGTON",3344933541,0.934401385581295,0.554773760554233,0.481056505737173
10008,"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL",36049,"CRENSHAW",3343353374,0.934617882658584,0.339575665728513,0.323771379086382
10011,"ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","BIRMINGHAM","AL",35235,"JEFFERSON",2058383122,0.0614851699502057,0.225806451612903,0.28480190517428
10012,"DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","FORT PAYNE","AL",35968,"DE KALB",2568453150,0.934834379735874,0.446849967525438,0.443710759904741
10016,"SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","ALABASTER","AL",35007,"SHELBY",2056208100,0.0103918597098939,0.190084433860143,0.443710759904741
10018,"CALLAHAN EYE HOSPITAL","1720 UNIVERSITY BLVD","BIRMINGHAM","AL",35233,"JEFFERSON",2053258100,0.935050876813163,0.864581078155445,0.702966009958866
10019,"HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL",35660,"COLBERT",2563864556,0.918813596016454,0.462113011474345,0.597423684780255
10021,"DALE MEDICAL CENTER","126 HOSPITAL AVE","OZARK","AL",36360,"DALE",3347742601,0.935267373890452,0.415133145702533,0.249729378653388
10022,"CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","CENTRE","AL",35960,"CHEROKEE",2569275531,0.935483870967742,0.685105001082485,0.249729378653388
10023,"BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","MONTGOMERY","AL",36116,"MONTGOMERY",3342882100,0.0181857544923144,0.242476726564191,0.481056505737173
10024,"JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","MONTGOMERY","AL",36106,"MONTGOMERY",3342938000,0.054990257631522,0.470339900411344,0.481056505737173
10029,"EAST ALABAMA MEDICAL CENTER","2000 PEPPERELL PARKWAY","OPELIKA","AL",36801,"LEE",3347493411,0.924875514180559,0.657718120805369,0.0752327343580862
10032,"WEDOWEE HOSPITAL","209 NORTH MAIN STREET","WEDOWEE","AL",36278,"RANDOLPH",2563572111,0.935700368045031,0.363498592768998,0.0520675470881143
10033,"UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","BIRMINGHAM","AL",35233,"JEFFERSON",2059344011,0.0461138774626543,0.718337302446417,0.249729378653388
10034,"COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","TALLASSEE","AL",36078,"ELMORE",3342836541,0.935916865122321,0.775276033773544,0.135094176228621
